user_id;task_id;completion_status;task_start;timestamp;task_duration;duration;survey_data;model_type;model_name;group;event_type;prompt_count
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;1;;;2025-05-30T20:35:47.228226+00:00;;25.766443;{'timestamp': '2025-05-30T22:35:47.224573', 'user_id': '40dbf9a5-cf0f-442d-ab57-e1d8f81a131b', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 25.766443, 'start_time': '2025-05-30T22:35:21.461770', 'end_time': '2025-05-30T22:35:47.228218', 'prompt_count': 2};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;2.0
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;2;completed;2025-05-30T22:35:48.909126;2025-05-30T22:36:00.727660;11.818517;;;;;;;1.0
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;2;;;2025-05-30T20:36:00.733051+00:00;;11.823911;{'timestamp': '2025-05-30T22:36:00.727660', 'user_id': '40dbf9a5-cf0f-442d-ab57-e1d8f81a131b', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 11.823911, 'start_time': '2025-05-30T22:35:48.909126', 'end_time': '2025-05-30T22:36:00.733043', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;3;completed;2025-05-30T22:36:02.397210;2025-05-30T22:36:15.662633;13.265402;;;;;;;1.0
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;3;;;2025-05-30T20:36:15.667062+00:00;;13.269836;{'timestamp': '2025-05-30T22:36:15.662633', 'user_id': '40dbf9a5-cf0f-442d-ab57-e1d8f81a131b', 'task_number': 3, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 13.269836, 'start_time': '2025-05-30T22:36:02.397210', 'end_time': '2025-05-30T22:36:15.667054', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;1;completed;2025-05-30T22:37:34.165017;2025-05-30T22:37:50.135306;15.970244;;;;;;;1.0
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;1;;;2025-05-30T20:37:50.144148+00:00;;15.979095;{'timestamp': '2025-05-30T22:37:50.135306', 'user_id': 'ed4b64c8-5bb9-4289-a430-92a8fcf1f146', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 15.979095, 'start_time': '2025-05-30T22:37:34.165017', 'end_time': '2025-05-30T22:37:50.144121', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;B;TASK_COMPLETION;1.0
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;2;completed;2025-05-30T22:37:52.666026;2025-05-30T22:38:07.290137;14.624085;;;;;;;1.0
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;2;;;2025-05-30T20:38:07.296264+00:00;;14.630225;{'timestamp': '2025-05-30T22:38:07.290137', 'user_id': 'ed4b64c8-5bb9-4289-a430-92a8fcf1f146', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 14.630225, 'start_time': '2025-05-30T22:37:52.666026', 'end_time': '2025-05-30T22:38:07.296255', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;B;TASK_COMPLETION;1.0
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;3;started;2025-05-30T22:38:09.742554;2025-05-30T22:38:09.742554;;;;;;;;
