user_id;group;login_time;age;gender;training_level;specialization;patient_records_exp;patient_records_years;clinical_reasoning_training;clinical_reasoning_desc;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;tools_used;other_tools;llm_usage_frequency;use_cases;other_use_cases;trust_level;expectations
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
dad9ebb8-5fe2-4a8e-99f7-88b373ece9d0;A;2025-05-26T21:16:14.118238;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;2;3;3;3;;;1-3 times per month;;;3;
75302fd5-454e-411a-97ce-c27f857d999d;B;2025-05-26T21:16:57.633324;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
20a56b58-73c2-4daf-be7c-0bef4d539473;A;2025-05-27T09:06:17.850611;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ce44f71a-a638-4614-8e45-d4750ad56c30;B;2025-05-27T09:09:11.776657;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
a7683e60-51fc-4341-8203-39a5a07be156;A;2025-05-27T09:15:25.797474;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
54fc03e9-52d8-40ec-82ba-35c677bb623b;B;2025-05-27T09:17:05.820596;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c213d388-7aa0-4b48-9df0-7121469b45c8;A;2025-05-27T15:40:57.837877;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;4;4;4;;;1-3 times per month;;;3;
d5f3422e-a327-496b-83b0-cbe04c03fcef;B;2025-05-27T15:47:48.212764;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
56d49d6c-6fa7-4a33-be6e-1f8af100096f;B;2025-05-27T15:50:26.987295;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
78d6df64-1bcc-4f35-845c-3bb87b8de1ca;A;2025-05-27T15:52:02.095575;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
